,Question Asked,Agency
7503,What is the admin cost for collection of passport from SingPost,ICA
7504,Imported GoodsImport same items split into small parcel and the CIF value 400 but total purchase CIF value is 400 Please advise whether we need to pay GST,IRAS GST
7505,Hi Morning I wish to print the ecertificate for the WSQ course May i know how can I print the certificate online,SSG
7506,Can I refile my form P,IRAS IIT
7507,what if i forgotten to buy eday licence,LTA
7508,how do i become a member of a company,ACRA
7509,can i enquire whether if is applicable for applicant to appply for junior officer with degree qualification,SPF
7510,APEC Card check,ICA
7511,Book inspectiondate,AVA
7512,how to appeal the traffic summon,SPF
7513,income tax table,IRAS IIT
7514,hi for ops manning reminder its just a reminder right for actual activation i just have to wait for message to my phone,MINDEF
7515,how to find out my vehicle insurance company,LTA
7516,How to change the address for tax billing,IRAS IIT
7517,how do I locate an acra number,ACRA
7518,How to check vacancy,MOE
7519,I need to see what number is available n choose the number then can submit where can I view the available number to bid,LTA
7520,How do I apply to pay tax via giro,IRAS IIT
7521,can i pay my cheque directly,IRAS IIT
7522,IS THERE A COMPANY BY THE NAME OF IMPACT LEADERSHIP,ACRA
7523,hello can i check my balance?,MOE
7524,when do we use corppass to submit tax,IRAS GST
7525,How may I apply for overseas notification,MINDEF
7526,Application for Filing Annual Return with no AGM held,ACRA
7527,Where can i find my food hygiene certificates and print it,SSG
7528,what will happen if i cannot meet the COP for my first choice in JAE,MOE
7529,what is the secretarial requirement of a struck off company,ACRA
7530,I have to report the missing item I have reported was found,SPF
7531,good morning I would like to update employment information in my PR application,ICA
7532,CONTACT number for RT,MINDEF
7533,How long is social visit pass for Indonesian tourists,ICA
7534,I just change new IU as my previous is broken,LTA
7535,What is traffic police email,SPF
7536,what is the deadline for filing my tax returns,IRAS IIT
7537,Which Dept in LTA do I refer to for a manhole that is giving vibrations when heavy vehicles go over it,LTA
7538,if i am going to poly and i scored a d7 for english can i still be eligibile,MOE
7539,how can I register a new company,ACRA
7540,hand phone number change,LTA
7541,Can S pass apply for Class 4 licence,SPF
7542,where is the place for plate seal inspection,LTA
7543,Does neighbour allow to make noise after 2230hrs,SPF
7544,I am a Singapore PR for 1 years plus Is that I am still able to covert my driving lisciens,SPF
7545,how to go about printing business acra,ACRA
7546,can holder of LTVP study in singapore,ICA
7547,Hi just wondering is there any difference for Singpass users and unregistered users when it comes to buying corporate records,ACRA
7548,how to change my nric address if i am serving NS,MINDEF
7549,how do i print my REP,ICA
7550,change of directors residential address need proof or documentation to update,ACRA
7551,Apply for edusave award,MOE
7552,Can I apply citizenship as a family,ICA
7553,loss ic need to report,SPF
7554,Ms Nurul Syafiqah Ramlan,AVA
7555,make an appointment with officer,IRAS IIT
7556,When to know my noa,IRAS IIT
7557,when is the next topups for SkillsFuture Credit,SSG
7558,three gifts to the same person attracts gst,IRAS GST
7559,My colleague passport will expiry in Oct 2019 however she is travelling to Malaysia in Aug 2 can she renew her passport online enough time for her to renew her passpor,ICA
7560,unable to submit claim online,MINDEF
7561,Hi Jamie i would like to submit online submit employee makeup claim could you please kindly assits,MINDEF
7562,What business expenses can I claim,IRAS IIT
7563,Can I use someones credit,SSG
7564,personal tax phone support,IRAS IIT
7565,what is acras office hours,ACRA
7566,set up company soleproprietors,ACRA
7567,Hey Ive a question So Ive failed my ippt and there are no free ippt sessions until my enlistment Im unsure of what is required of me to do at this point of time an,MINDEF
7568,copy of document to show what time i have entered the singapore checkpoint,LTA
7569,Madam how to make pay traffic police finemy friend go axs and pay fine axs notice come outincorrect,SPF
7570,I have a giro payment of 128680 suppose to deduct on 6 March how can I get extension to be deducted this once on 25 March 2019 instead,IRAS IIT
7571,Are all the enlistment dates in this calendar,MINDEF
7572,opening hours for traffic counters to apply for driving license,SPF
7573,Hi I was in Singapore for approx 5 months and need to know howm much tax is to be paid,IRAS IIT
7574,do i need to print letter for inspection,LTA
7575,Hello is it a must for PR convert their license to Singapore driving license If they dont convert not drive in Singapore will there have any issue,SPF
7576,Unable to proceed to the object of assessment page,IRAS IIT
7577,transfer of car,LTA
7578,I am EP holder can I apply PR without having a Singpass,ICA
7579,I am trying to extend the social visa of my mother in law beyond 89 days,ICA
7580,what are the skillsfuture eligible courses for PMETs,SSG
7581,when will my tax bill be sen to me,IRAS IIT
7582,What is the latest pqp price fr cat b vehicles,LTA
7583,what is the allowable limit for potassium sorbate in food,AVA
7584,tax on dividend,IRAS IIT
7585,Good morning Maam I just want to know my assestment I been working in Singapore last 2018 Jan to 2018 April My last day if work on 18 April 2018,IRAS IIT
7586,I need 96 hours transit visa of Singapore,ICA
7587,What are the required procedures for transfer of exhaust from another vehicle,LTA
7588,Will our old passport number be changed when we renew,ICA
7589,Hi Jamie for Singapore company how do we go about requesting for Tax Residency Certificate,IRAS IIT
7590,fixed input tax recovery rate,IRAS GST
7591,Can I edit my re entry permit which is still pending,ICA
7592,what does ordinarily resident in singapore mean,ACRA
7593,mailing adress,LTA
7594,where can check color code,LTA
7595,I dont have my visa reference number,ICA
7596,i want to set up a company,ACRA
7597,how do i submit particulars for OTHER drivers,LTA
7598,completion of pr,ICA
7599,Can we claim 7 GST paid for Hospital Surgical policy for staff,IRAS GST
7600,I hav log in so what next,IRAS IIT
7601,MyPes is B1 why have I been enlisted to 17 weeks training,MINDEF
7602,My IC was stolen few years ago,ICA
7603,for JC admission must Chinese subject be computed into the L1R5,MOE
7604,what is incometax,IRAS IIT
7605,audit exemption for private limited liability company,ACRA
7606,how can i send email to SFA,AVA
7607,How do I claim my skill future credit for the cost I would incur for signing up for the First Aid course with Red Cross Thank you,SSG
7608,submit my tax return,IRAS IIT
7609,can Nsf Claim,MINDEF
7610,what kinds of letters will ICA submit from singapore to china,ICA
7611,How do I check chassis number of my car,LTA
7612,where to submit AGM minutes,ACRA
7613,Can we apply Singapores Visa online,ICA
7614,property tax subject to GST,IRAS GST
7615,I cannot find the renewing tab in the dashboard to renew my business licence,ACRA
7616,changing of medical information,MINDEF
7617,Home cooking sales,AVA
7618,tatooes allowed to join spf,SPF
7619,DSA not singapore student can be apply,MOE
7620,where to search the vehicle or insurance coverage,LTA
7621,Can pregnant women stay longer prior to LTVP,ICA
7622,What if I am overseas and cant get finger print impressions,SPF
7623,does employer need to file IR21 for employee who change from EP to pepe,IRAS IIT
7624,collect identity card,ICA
7625,Can I check if my individual income tax for 2019 has been paid,IRAS IIT
7626,i need to know the steps to file rental income,IRAS IIT
7627,Hi there doesnt seem to have the ESelf Update option in my NsPortal I need to access that as Ive changed my bank account and will need to update om that Thanks,MINDEF
7628,how much the school fee for primary 1,MOE
7629,No i have terminate my business since May 2017 but how come i still received renewal notice and is deducted from my Giro account how do i claim back my money,ACRA
7630,was being chased by stray dogs near yishun ave 1 forest area,AVA
7631,How to check status of Students Pass,ICA
7632,if my parents have pass on do I need to include their details in PR,ICA
7633,Hi Jamie Do i need to file my income tax,IRAS IIT
7634,for the expression of interest,MOE
7635,Hi How to I opt for IPT,MINDEF
7636,Is my employer responsible for clearing my tax,IRAS IIT
7637,I cant register my child for P1 admission,MOE
7638,i want to renew meat licence,AVA
7639,Where can i apply for overseas notification,MINDEF
7640,where to download business profile,ACRA
7641,hi Jamie my identity card has damaged it has a cut how to get a replacement,ICA
7642,for P1 registraion do i need to reside in my current address for a minimum number of years first before I can apply for priority admission,MOE
7643,Can the escooter LTA registration be replace if damage,LTA
7644,When do I need an exit permit or bond,MINDEF
7645,If I claimed can my spouse claim too,IRAS IIT
7646,I need to register the company,ACRA
7647,Input tax claims are disallowed under Regulation 27 of the GST General Regulations,IRAS GST
7648,how to resign as a company secretary of a company,ACRA
7649,Can I check where can write a complaint letter about LTA service,LTA
7650,What to bring for car inspection,LTA
7651,When is my mob manning period,MINDEF
7652,How do I sell 13 year old car,LTA
7653,Hello my name is angel how do I schedule a fingerprint appointment,SPF
7654,GST Registered Business,IRAS GST
7655,am i taxed for parking of company car at home,IRAS IIT
7656,obligations for tax resident,IRAS IIT
7657,check primary school constituency,MOE
7658,1 cant submit an eappt to collect my new passport What can I do,ICA
7659,I want to apply for a ABTC card,ICA
7660,what food items are exempt from GST,IRAS GST
7661,I need to change my passport collection date It was fixed at tomorrow 330pm,ICA
7662,hi how do i complain about a school,MOE
7663,how can I get my recall order,MINDEF
7664,Possible to retrieve accident report reported at police post or need to go back to police post to get it,SPF
7665,How do I know how much credit I have,SSG
7666,i want to file my AR for local company my FYE is dec,ACRA
7667,is your efeedback on road user working,SPF
7668,I missed making tax payment,IRAS IIT
7669,where do i make payment online for my fine,LTA
7670,I have added appointment of secretary to my company Acknowledgement done by secretary I received an email from ACRA asking me to click on link to make payment How to d,ACRA
7671,want to know my company acra info,ACRA
7672,I passed my ippt my enlistment date didnt change,MINDEF
7673,can you check my demerit point,SPF
7674,I have made an appeal on my traffic offence last week May I know how do I check the status of appeal,LTA
7675,Is Qualifying Child relief for Singaporeans only,IRAS IIT
7676,how may I edit my returned company profile,SSG
7677,approved claim document,SSG
7678,UNABLE TO MAKE RENEWAL OF LICENSE PAYMENT,ACRA
7679,Hi If I am a International school student who is graduating by the end of May this year when will I be called up,MINDEF
7680,Can I use skillsfuture credit for company sponsored,SSG
7681,Import drinks,AVA
7682,can i alk to the agent,IRAS IIT
7683,validity of passport travel to batam,ICA
7684,When will I receive a new letter regarding my enlistment,MINDEF
7685,how do I report illegal gambling SMS,SPF
7686,Hi Jamie is ICA closed during lunch hour,ICA
7687,who needs to file financial statements,ACRA
7688,who should pay tax,IRAS IIT
7689,how do i declare income tax for a retiree without any income,IRAS IIT
7690,employers log in,SSG
7691,how does company search for skillsfuture accredited course,SSG
7692,When will the ippt result status out,MINDEF
7693,How do I find out the name and contact details of a company director,ACRA
7694,How and where do I do the QDL,SPF
7695,where can I downloan the form to apply gst payment thru giro,IRAS GST
7696,I would like to book my IPPT at Bedok FCC however I am not able to is the camp site unavailable for the time being as well,MINDEF
7697,hi will like to initiate the Make up pay,MINDEF
7698,I wanted to make an appointment for what course to look for,SSG
7699,is sabbatical taxable,IRAS IIT
7700,how to pay traffic police fines online,SPF
7701,What time does CBD charges end,LTA
7702,hi can I change my son passport as his photo is not the same as his baby photo,ICA
7703,If Ive submitted Form IR21 and realized an error how do I edit There isnt an edit button,IRAS IIT
7704,How to complaint about teacher,MOE
7705,foreigners leave singapore after 183 days,IRAS IIT
7706,exchange rate for benefit in kind,IRAS IIT
7707,how to apply for professional visa,ICA
7708,How much to convert z10 to company car,LTA
7709,did my fingerprint arrived,SPF
7710,hi can i claim input tax for invoice billed to me 6 months ago,IRAS GST
7711,do I need to apply for a visa before I obtain for LTVP,ICA
7712,if i renew my ROPC car coe early will i still have rebate,LTA
7713,how do i activate live chat,MINDEF
7714,Do I need to update my pr status if I renew my passport,ICA
7715,i go my tax portal edit my tax than submit,IRAS IIT
7716,are dividend payout tax deductible,IRAS IIT
7717,checking roadtax expried,LTA
7718,Hi I sold my car yesterday and also transferred ownership When can I cancel my insurance,LTA
7719,where can i print my certificate pls,SSG
7720,ACRA contact number,ACRA
7721,Can the complainant go to the respondent after a police report,SPF
7722,i need to talk to an IRAS officer,IRAS IIT
7723,For professional fee paid to nonresident do we need to hold Withholding tax,IRAS IIT
7724,i have not received outcome of appeal,LTA
7725,for jae,MOE
7726,can I claim for car petrol expenses,IRAS GST
7727,SRS maximum contribution,IRAS IIT
7728,SRS including in the 80000 capped,IRAS IIT
7729,if i intend to operate a bubble tea shop do i need to apply for any license,AVA
7730,when is a company need to file xbrl,ACRA
7731,My mum is a Long term pass holder with a Malaysian Passport Recently she renewed her Malaysian passport and now she is not able to use the automated gate for exitentry,ICA
7732,Lta mark sticker,LTA
7733,i want to check how many demerit points i have,SPF
7734,we want to extend one more month,ICA
7735,me and a friend want to start a property management company is a sole proprietor application enough,ACRA
7736,what is income tax rate for foreigners,IRAS IIT
7737,my application for business name is approved but they did not give me the UEN number,ACRA
7738,Controllerof Immigration address,ICA
7739,i want to renew business registration for sole proprietor,ACRA
7740,how can i make GST payment,IRAS GST
7741,How to email ica,ICA
7742,does the credit renew every year,SSG
7743,what are the types of moe approved gaming software,MOE
7744,Is there a penalty table which I can refer to in order to ascertain how much late renewal penalty I must pay,ACRA
7745,purchase order from oversea but deliver in Singapore how to charge GST,IRAS GST
7746,where is the Preview NOA button,IRAS IIT
7747,im a new citizen but I have yet receive notification to collect my NRIC,ICA
7748,When can i received the marking for escooter,LTA
7749,How to book appointment for collection of identity card,ICA
7750,How to I register Z10 or Z11,LTA
7751,ii got qdl If my demerit points accumulated to 24 points can i still continue to drive,SPF
7752,HOW TO PRINT MY PDL COPY,SPF
7753,I dont have singpass access,IRAS IIT
7754,is gst claimable for audio metric examination arranged for employees,IRAS GST
7755,i cannot even change my ippt booking how to amend the date,MINDEF
7756,Can I issue tax invoice when my company is not gst registered,IRAS GST
7757,how to apply permanent residence in Singapore via online application,ICA
7758,am I able to lodge a report of my loss passport,SPF
7759,support for dyslexic student,MOE
7760,how to do edit shareholders name,ACRA
7761,I need to renew passport where to get form,ICA
7762,what to do if I upload wrong from during pr application,ICA
7763,is any requirement to import chicken meat floss for sale in singapore,AVA
7764,what is the maximum amount to claim for spouse,IRAS IIT
7765,what is my arca number,ACRA
7766,Hi Jamie is there an email address for Singapore traffic police,SPF
7767,where can I pay for my traffic offence,SPF
7768,How do I print out a hard copy of my pdl,SPF
7769,Terminate secretary,ACRA
7770,I cant seem to apply for my epdl,SPF
7771,How to know what course is good for me,SSG
7772,how much child relief for third child,IRAS IIT
7773,Effective date of purchase invoices,IRAS GST
7774,register for business,ACRA
7775,how to i apply tax reassessment,IRAS IIT
7776,what should i do when Visa Application is Pending,ICA
7777,renew driving licnse,SPF
7778,Voluntary contribution tax relief,IRAS IIT
7779,Hi I would like to check how many ICT left to MR,MINDEF
7780,Hi would like to ask if a company is struck off ACRA will the status of the director of that company change,ACRA
7781,tax computation calculation,IRAS IIT
7782,individual income tax rate for foreigner,IRAS IIT
7783,What is the teaching hours of a Mother tongue tr in MK MOE Kindergarten,MOE
7784,If my share of net rent is 50 do I put in the full amount of mortgage loan interest,IRAS IIT
7785,how to update my motorcycle insurance address,LTA
7786,how many days can a visitor from Mauritius stay in Singapore,ICA
7787,Things in the cupboard,MINDEF
7788,I have not yet receive my enlistment notice,MINDEF
7789,Hi I want LTA to mail the notices instead sms,LTA
7790,How do I find my Companys ACRA details,ACRA
7791,is soft serve ice cream considered live food preparation,AVA
7792,i try register for deferment but unable due complete capita,MINDEF
7793,Hello Jamie I am about to send an application for an approval for an aftermarket exhaust to Vehicle Approval Control Division of LTA at 10 Sin Ming Drive,LTA
7794,If I get rejected for phase 2B can I apply phase 2C same school,MOE
7795,how to furnish driver particulars for traffic offence using company registered vehicle,SPF
7796,i am sole proprietor I received full time salary every month fo for ais submission i should not report my ir8a is it right,IRAS IIT
7797,Primary 1 find a school,MOE
7798,If my product have Fresh milk or Honey in frozen bakery product what information I will preparing for import product to register,AVA
7799,can i exit singapore with less than 6month passport,ICA
7800,Can a officer help me to change to my new address,ACRA
7801,Is share dividend gain tax free,IRAS IIT
7802,Can I get my passport on the same day if I renew passport at the counter,ICA
7803,i have problem to submit claim for my employee,MINDEF
7804,can we import frozen duck tongue from china,AVA
7805,I want to know the company master data related to my company,ACRA
7806,Hello Jamie I am an Indian National with an American Green Card I plan to transit through Singapore en route to India I would like to apply for a VFTF,ICA
7807,I cant login the driver demerit point page,SPF
7808,I need to collect my lost property from FUPO,SPF
7809,Can I go to uni,MINDEF
7810,What is the latest COE bidding results,LTA
7811,Validity of evisa,ICA
7812,Skillsfuture credit for singaporean only,SSG
7813,would like to submit training grant TG application hence requested for assistance.,SSG
7814,are phone reimbursements taxable,IRAS IIT
7815,has ica started the electronic arrival cards for foreigners,ICA
7816,want to know financial statements,ACRA
7817,Cant excess yr website for furnish driver particulars,SPF
7818,difference between company sponsored and individual sponsored,SSG
7819,How do i print all my certificates from SkillsFuture,SSG
7820,have not received escooter label,LTA
7821,claim tax for non resident individual,IRAS IIT
7822,Can my organizations course apply under skills future,SSG
7823,How do I submit my medical certificate,MINDEF
7824,Do I need to bring my passport to make a new IC,ICA
7825,Will I have to do reservist?,MINDEF
7826,Do I go for medical screening if I defer,MINDEF
7827,how can I check my pay status,MINDEF
7828,i saw a P rating for a caterer what does this mean,AVA
7829,is GST for medical expenses subjected to S145 restriction,IRAS GST
7830,If I have a multiple entry tourist visa then is there any restriction on how frequently I can visit Singapore,ICA
7831,I have question regarding my transfer flight in Sigapore,ICA
7832,Check Ord date,MINDEF
7833,How can I find the SUSPICIOUS TRANSACTION REPORT template,SPF
7834,can I report an unsolicited illegal online betting sms,SPF
7835,Can I file a police report against a car that almost got me into an accident,SPF
7836,I want to renew securty licence,SPF
7837,how to request a tax clearance for personal,IRAS IIT
7838,Hi how I check my NOA,IRAS IIT
7839,I managed to complete only 19 session of rt before my birthdaywhat should i do,MINDEF
7840,no on is answering your hotline,AVA
7841,I tried to search website for course relate to reverse charge not able to find Can you guide,IRAS GST
7842,We are interested to check shipping pork to Singapore from Switzerland We found AVA site mentioned Switzerland is an approved country do we also need plant approval,AVA
7843,I cant open the register for numen payments,MINDEF
7844,where can i find the business code listing,ACRA
7845,i am searching for car registration number for sale,LTA
7846,please tell me the payment method for coc,SPF
7847,how can a self-sponsored individual be eligible to claim for the absentee payroll,SSG
7848,How do I do replacement for pmd registration mark,LTA
7849,can my new employer pay me if my previous tax clearance is not done,IRAS IIT
7850,I have rentad my room how do I declare,IRAS IIT
7851,What is the educational qualifications for a director of security agency,SPF
7852,how to define solvent or insolvent of an EPC,ACRA
7853,what is effective tax rate for year assessment 2019,IRAS IIT
7854,how to update company registered address in acra,ACRA
7855,Do I need to reapply for GIRO payment every tax year,IRAS IIT
7856,how to amend the submission of skill future fund claim,SSG
7857,What is the skills future top up interval,SSG
7858,how do I print copy of road tax expiry date,LTA
7859,where I can downlod my epass,ICA
7860,i am a grab driver and where should i fill in the income,IRAS IIT
7861,I applied for dsa sec for nus high and raffles instituition but their selection test is on the same date and timeShould i withdraw from one of the school dsa test,MOE
7862,Dips letter,SPF
7863,My income is in US dollars,IRAS IIT
7864,I want to view my road tax slip after payment,LTA
7865,How can i renew business name registration without using Corp pass,ACRA
7866,It has been 2 months and Im still waiting for make up pay,MINDEF
7867,how can i cancel my giro and pay tax one shot,IRAS IIT
7868,individual iras extension,IRAS GST
7869,claim status has been taking a long time,MINDEF
7870,How to view rt payment,MINDEF
7871,CAN WE REGISTER A COMPANY THAT WAS STRUCK OFF EARLIER,ACRA
7872,Hi if Im a stay at home mum overseas and have a foriegn license can I still convert it in Singapore,SPF
7873,how to appeal for PR rejections,ICA
7874,How to update Long term pass passport,ICA
7875,can we import sausages from UK,AVA
7876,where to declare 300 cash vouchers awards in the IR8A,IRAS IIT
7877,i like reserve a business name,ACRA
7878,it says that i don not have an active skillsfture credit account,SSG
7879,how to deregister a company,ACRA
7880,less than 183 days for year 2018,IRAS IIT
7881,can an offshore company operate in singapore,ACRA
7882,who should i contact as i m now at oversea,IRAS IIT
7883,excursion bus speed limit,LTA
7884,I requested Grab to send a copy of my last year income statement but they say want me to pay for the copy,IRAS IIT
7885,How do I change basis of split for QCR PTR for my child 1 I have just changed the split for my child 2 but I can not access for child 1,IRAS IIT
7886,I am a foreign worker and will leave Singapore for good on 6th February to go to Ireland for work I will definitely need COC to work in Ireland,SPF
7887,I just want to check if this year i need to pay my income tax,IRAS IIT
7888,Hi Is it ok that local citizen apply ebusiness visa for her colleague in Guangzhou instead of Singapore,ICA
7889,If I deregister my car today do I get back the full PARF value as stated,LTA
7890,What is my current COE number,LTA
7891,hi im looking for job and training,SSG
7892,Ippt offense charge,MINDEF
7893,rebate for remaining coe,LTA
7894,how to update new mobile number,LTA
7895,plate transfer,LTA
7896,purpose of FUPO,SPF
7897,imperative role of nominee directors,ACRA
7898,what is NOK,MINDEF
7899,What if phrase 2c supplementary fails,MOE
7900,i would like to ask abt IR21 The monies withold tax hold by employer is less than the amount actual tax should pay by employee,IRAS IIT
7901,Hi how can I refund GST over paid,IRAS GST
7902,Changing children passport photo,ICA
7903,how to book in to BMTC,MINDEF
7904,renewal foreign driving license,SPF
7905,cannot find the certificate via Bizfile,ACRA
7906,How do i submit IR8A for staffs who are drawing salary from overseas,IRAS IIT
7907,first aid kit items is input tax claimable,IRAS GST
7908,what is the email i can send my documents,SPF
7909,How to do Business renewal on the apps,ACRA
7910,the email i requested is wrong,ACRA
7911,How to change time for medical check up,MINDEF
7912,how much is the charge for passport collection at post office,ICA
7913,i need to convert my Foreign drivers license,SPF
7914,May I obtain receipt for my ICA application,ICA
7915,Total PTR for 2 children,IRAS IIT
7916,when does VFTF 96hour begins,ICA
7917,how do i edit my rental income,IRAS IIT
7918,Illegally parked vehicles,SPF
7919,whats the website for SPF EsERVICES,SPF
7920,Do i need a Singapore Visa if its trasit also,ICA
7921,stipend taxable,IRAS IIT
7922,i need to check my company acra for renew lease,ACRA
7923,Hi can I get extract from Jabatan Pengangkutan Jalan Malaysia JPJ before the BTT test any support document require,SPF
7924,my mother LTVP is apply by my brother now is expire soon i want to apply for her so is click on apply new LTVP or Renew LTVP,ICA
7925,Dermit point,SPF
7926,I want to register a scooter license plate,LTA
7927,For loss of driving license do i need to make police report Replacement to be made on line or walk in at Traffic Police for Spore citizsn,SPF
7928,Hi Im filing agents and i have submitted a client list before 1 Sep 2019 and now why i cant do filing services for my client that is in my submitted list,ACRA
7929,How is the traffic to Johore,LTA
7930,What happen if i im not attent ippt for 3rd time what is the charge,MINDEF
7931,Can I register my grandchild for primary 1 on me Son behalf,MOE
7932,What time the revenue house close,IRAS IIT
7933,Company incorporated on 31Aug2017 Year End 31Jul2018 but in acra year end shows 310818 Not able to file annual return How to do filing,ACRA
7934,I CANT FIND THIS 13 BOXES GST F5 RETURN FORM,IRAS GST
7935,converting partnership to llc,ACRA
7936,I cant see my unit in the ns booklet,MINDEF
7937,Whats the penalty of wrongly striking off company,ACRA
7938,when I collect my passport,ICA
7939,what is the amount of road tax to pay on 3192 cc 2011 petrol car,LTA
7940,I have walk in to apply for a new identity card due to damage how I can check if it is ready for collection,ICA
7941,how do i declare that i have an medical appointment for my legs,MINDEF
7942,What should i do if my road tax expired 1st aug and my insurance expired octhow which im suppose to pay 1st,LTA
7943,may the check currently we can renew reentry permit for max how long,ICA
7944,how to confirm the transfer of TCOE,LTA
7945,where can I do my identification mark,LTA
7946,i need to file IR21 for staff who holding S Pass,IRAS IIT
7947,Can I have extension to submit my application,IRAS IIT
7948,what is the age limit to claim child relief,IRAS IIT
7949,I apply for an APAC card,ICA
7950,Hi where could I go to download my WSQWDA certificate,SSG
7951,can a non executive director be a shareholder,ACRA
7952,are fringe benefits out of scope supply,IRAS GST
7953,company address in ir8a form,IRAS IIT
7954,which pmd need to be register,LTA
7955,Hi I have submitted my application of PR reentry permit since 16619 but until today still in pending status may i know how should I do,ICA
7956,what is the FML FOR YA 2020,IRAS IIT
7957,how many vacancy for Nan Hua,MOE
7958,HI Im trying to submit a video but I keep getting invalid file,SPF
7959,need to request Certificate from Registry of Companies,ACRA
7960,can i renew my business with singpass,ACRA
7961,how can i claim relief for supporting my parents,IRAS IIT
7962,Found my IC after report loss,ICA
7963,Where can I pay road tax for my car,LTA
7964,how to print road tax for Malayisa,LTA
7965,my 8th booking is shown as rt not ippt,MINDEF
7966,How do I remove partner from LLP,ACRA
7967,must bank charge be reported under exempt supplies,IRAS GST
7968,Hi Jamie My Company is a GST registered Company commencing 2017 for purpose of claiming my GST paid in purchasing my property Could I check if I wish to terminate as a,IRAS GST
7969,vehicles inspection is valid for 1 year,LTA
7970,how to get a police certificate for anon singaporeans,SPF
7971,how do I change business activities in my business profile,ACRA
7972,what is office email meant,ICA
7973,where do i check my demerit points,SPF
7974,if he is only come for 1 day during the year how to calculate that,IRAS IIT
7975,soleproperitor current account,ACRA
7976,How to update the company address in ACRA,ACRA
7977,How Long is but in telong,MINDEF
7978,What are the interest taxable,IRAS IIT
7979,Escooters,LTA
7980,How do I find out if this person is any company director,ACRA
7981,short term stay extension,ICA
7982,remove company director,ACRA
7983,how to review medical overseas,MINDEF
7984,doing registering,ACRA
7985,ACRA Biz file for free,ACRA
7986,how can i check my security license notifications,SPF
7987,What documents do I need to transfer a vehicle,LTA
7988,I am in overseas how to apply a passport urgently,ICA
7989,for Singapore PR application employer letter is mandatory,ICA
7990,How to renew for business licence I do not have a CORP Pass,ACRA
7991,travelling from meeting venue to home after office hour is it taxable,IRAS IIT
7992,I have a call up tommorow for some lesson but i dun have my boots can i come with cv,MINDEF
7993,How do I cancel my medical appointment,MINDEF
7994,hi i like to make enquiry,LTA
7995,i changed my name how do i change my name for my driving license,SPF
7996,to file Year 2019 income tax,IRAS IIT
7997,How to renew my business registration,ACRA
7998,Hi if i lost the IC Collection Slip,ICA
7999,does ica open on Saturday,ICA
8000,Hi I have resigned from my current job do I need to have IR21,IRAS IIT
8001,Should MakeUp Pay be prorated if there has been a change of Salary,MINDEF
8002,If my child applies badminton IP badminton o level at the same school such as CHS it considers 1 choice or 2 Or can my child apply like this 1 school for 2choi,MOE
8003,What is the processing time for ic reregister,ICA
8004,when is the latest i can start my srs withdrawals,IRAS IIT
8005,May I check how do I acknowledge the SAF100 online,MINDEF
8006,Is my car SFG 2205 Eroad tax renewal through GIRO,LTA
8007,child education fee,IRAS IIT
8008,What happens if I am the only left out in phase 2B within 1 km,MOE
8009,Hi my husband qnd I are previous PR but already renounced it in 2014 Now I need to get a police clearance but i have no singpass and i am outside singapore,SPF
8010,do i have to pay tax after bonus payout in tge next year,IRAS IIT
8011,Hi how can I get COE No,LTA
8012,if ir21 is filed is there a need to file for ir8a,IRAS IIT
8013,when can i get my escooter certificate,LTA
8014,If I am early for my appointment can I be served immediately if there is no queue ahead,ACRA
8015,If I failed my Practical Test the first time does it cost the same amount to retake the test,SPF
8016,List of training provider,SSG
8017,am i able to reschedule my ippt,MINDEF
8018,What happened when I divorce a permanent resident,ICA
8019,URGENT ATTENTION Dear OfficerPlease call me urgently as the above Visa has not been approved since submission on 070819,ICA
8020,hi Jamie why must SSG and skill future do a survey after completing a WSQ courseIf hdphone no internet Data plans cannot send then How,SSG
8021,Vehicle chassis,LTA
8022,I met a critical issue I renew my passport recently but just realized that I need to renew my 2 years visa as well however I will fly to SIG these two days,ICA
8023,I would like to retrieve a police report but I doesnt have the case number,SPF
8024,how to declare rental income which is part 2018 and part 2019,IRAS IIT
8025,May I have the email of One Motoring,LTA
8026,apply for evisa as a PR,ICA
8027,form for coco,SPF
8028,I would like to know the neareat police station from where I am,SPF
8029,my driving licence expired do I need to sit my test again,SPF
8030,public company exempted by share need to be audit,ACRA
8031,types of transport exempted under non resident professionals,IRAS IIT
8032,I have 30 over years of working experiencebanking May I know how do I go about to become a career coach Thks,SSG
8033,how i need to efile,IRAS IIT
8034,When I try to renew the business Error message appeared You are not authorized to lodge this transaction What to do,ACRA
8035,If my passport application is rejected due to photo do I have to pay another 70,ICA
8036,May I check with you whether a Branch of Foreign Company is till a separate legal entity in Singapore,ACRA
8037,hi how do i collect my passport from singpost,ICA
8038,How to become private investigator,SPF
8039,I need to take my singapore ir8a letter or Noa letter,IRAS IIT
8040,What if my supplies are only zerorated supplies Do I still need to register,IRAS GST
8041,How to check my Life Insurance is eligible for Tax Relief,IRAS IIT
8042,Hiring of ship under GST Act section 21,IRAS GST
8043,file wrong salry,IRAS IIT
8044,What is the penalty for parking within double yellow line,SPF
8045,change from partnership to LLP,ACRA
8046,Whats my emart credit now,MINDEF
8047,Hi I need to speak to someone from WSG regarding my case 8000983800 What number do I call,SSG
8048,how to have her courses funded by SSG,SSG
8049,I need to fill in my sommons driver particular,SPF
8050,How can I check when my registered company is due for renewal,ACRA
